year,month,tourist arrival,USD,GDP (current US$),Kerosine type jet fuel (U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)),festival,mean_temp,max_temp,min_temp,total_precip,Sri Lanka tourism,Sri Lanka travel,date
2017,1,219360.0,150.0,94369350286.0,1.514,,22.848387096774193,32.6,5.2,643.4,22.0,52.0,2017-01-01
2017,2,197517.0,151.0,94369350286.0,1.547,,23.199285714285715,34.3,6.2,252.3,21.0,45.0,2017-02-01
2017,3,188076.0,151.0,94369350286.0,1.445,,24.15225806451613,32.9,7.9,547.7,22.0,42.0,2017-03-01
2017,4,160249.0,152.0,94369350286.0,1.51,Sinhala & Tamil New Year,25.534666666666663,38.8,10.6,514.4,19.0,40.0,2017-04-01
2017,5,121891.0,152.0,94369350286.0,1.412,Vesak,25.28451612903226,37.6,11.9,1138.7,20.0,41.0,2017-05-01
2017,6,123351.0,153.0,94369350286.0,1.295,Poson,24.792,37.3,12.9,923.5,21.0,38.0,2017-06-01
2017,7,205482.0,154.0,94369350286.0,1.417,,24.98193548387097,37.9,12.5,705.7,25.0,46.0,2017-07-01
2017,8,190928.0,153.0,94369350286.0,1.561,Esala Perahera (Kandy),24.4,36.3,11.6,1096.9,26.0,45.0,2017-08-01
2017,9,145077.0,153.0,94369350286.0,1.8,,24.107333333333333,35.4,11.3,1053.7,20.0,42.0,2017-09-01
2017,10,152429.0,154.0,94369350286.0,1.659,,24.05483870967742,36.1,11.6,1443.6,19.0,45.0,2017-10-01
2017,11,167511.0,154.0,94369350286.0,1.76,,23.250666666666667,32.0,10.2,1949.1,20.0,48.0,2017-11-01
2017,12,244536.0,153.1506,94369350286.0,1.817,Christmas,23.153548387096773,31.0,9.9,622.0,23.0,48.0,2017-12-01
2018,1,238924.0,154.0,94450015983.0,1.952,,23.047741935483867,33.1,6.3,181.2,25.0,64.0,2018-01-01
2018,2,235618.0,155.0,94450015983.0,1.849,,23.783571428571427,33.7,9.2,374.6,19.0,49.0,2018-02-01
2018,3,233382.0,156.0,94450015983.0,1.858,,24.294193548387096,33.8,9.8,573.0,23.0,59.0,2018-03-01
2018,4,180429.0,156.0,94450015983.0,2.015,Sinhala & Tamil New Year,24.803333333333335,34.8,11.4,578.2,19.0,43.0,2018-04-01
2018,5,129466.0,158.0,94450015983.0,2.155,Vesak,24.383225806451613,36.8,12.3,1690.3,22.0,42.0,2018-05-01
2018,6,146828.0,159.0,94450015983.0,2.09,Poson,24.413333333333338,36.6,12.9,1151.4999999999998,18.0,43.0,2018-06-01
2018,7,217829.0,159.0,94450015983.0,2.098,,24.23677419354839,37.9,11.6,861.8000000000001,21.0,46.0,2018-07-01
2018,8,200359.0,160.0,94450015983.0,2.118,Esala Perahera (Kandy),23.900645161290324,36.5,11.0,945.2,23.0,50.0,2018-08-01
2018,9,149087.0,164.0,94450015983.0,2.189,,24.169333333333334,37.6,10.5,793.9,21.0,45.0,2018-09-01
2018,10,153123.0,171.0,94450015983.0,2.249,,23.36193548387097,33.0,11.2,2179.6000000000004,22.0,50.0,2018-10-01
2018,11,195582.0,177.0,94450015983.0,1.945,,23.294,31.8,9.5,1879.0999999999997,22.0,51.0,2018-11-01
2018,12,253169.0,180.098,94450015983.0,1.696,Christmas,23.08,31.3,9.2,605.8000000000001,22.0,49.0,2018-12-01
2019,1,244239.0,182.0,88998706297.0,1.784,,23.107096774193547,34.0,6.3,271.4,23.0,60.0,2019-01-01
2019,2,252033.0,179.0,88998706297.0,1.914,,23.763571428571428,33.4,8.4,683.2,24.0,51.0,2019-02-01
2019,3,244328.0,178.0,88998706297.0,1.902,,24.65096774193548,34.7,8.3,282.0,23.0,52.0,2019-03-01
2019,4,166975.0,175.0,88998706297.0,1.977,Sinhala & Tamil New Year,25.538000000000004,34.7,11.0,600.9000000000001,31.0,100.0,2019-04-01
2019,5,37802.0,176.0,88998706297.0,1.972,Vesak,25.793548387096777,38.8,11.3,498.0,20.0,52.0,2019-05-01
2019,6,63072.0,177.0,88998706297.0,1.817,Poson,25.56066666666667,37.9,12.9,811.1999999999999,18.0,48.0,2019-06-01
2019,7,115701.0,176.0,88998706297.0,1.913,,24.92129032258065,37.5,10.9,686.3,20.0,42.0,2019-07-01
2019,8,143587.0,178.0,88998706297.0,1.8,Esala Perahera (Kandy),24.225161290322585,37.4,12.4,1402.0,20.0,42.0,2019-08-01
2019,9,108575.0,181.0,88998706297.0,1.874,,23.986666666666665,37.4,12.2,1303.0,22.0,41.0,2019-09-01
2019,10,118743.0,181.0,88998706297.0,1.861,,23.26129032258065,31.4,11.4,2196.1,18.0,40.0,2019-10-01
2019,11,176984.0,180.0,88998706297.0,1.824,,23.589333333333336,32.2,10.9,1139.6,21.0,45.0,2019-11-01
2019,12,241663.0,181.0,88998706297.0,1.893,Christmas,23.36709677419355,31.0,9.8,1070.1999999999998,21.0,46.0,2019-12-01
2020,1,228434.0,181.0,84335574582.0,1.77,,23.75161290322581,33.1,8.0,157.4,24.0,58.0,2020-01-01
2020,2,207507.0,182.0,84335574582.0,1.509,,24.4048275862069,35.4,8.6,194.3,20.0,50.0,2020-02-01
2020,3,71370.0,185.0,84335574582.0,0.953,,25.405806451612904,34.5,8.9,159.6,12.0,58.0,2020-03-01
2020,4,63483.666666666664,193.0854,84335574582.0,0.606,Sinhala & Tamil New Year,25.423333333333336,34.9,10.5,703.4,10.0,17.0,2020-04-01
2020,5,55597.333333333336,187.865,84335574582.0,0.686,Vesak,25.356129032258064,36.2,13.3,1214.3,11.0,19.0,2020-05-01
